Score, Target, Expression
12,131073,(True)-((~(True))<<((True)<<(-((~(True))<<(True)))))
12,-80,(True)-((~(-(~(True))))**(-((~(True))<<(True))))
12,1048576,(True)<<(((True)-((~(True))<<(True)))<<(-(~(True))))
12,-262144,(~(True))<<(-(~((True)<<(-((~(True))<<(True))))))
12,-2147483648,(~(True))**(~((~(True))<<(-((~(True))<<(True)))))
12,340282366920938463463374607431768211456,(~(True))**((True)<<(~((~(True))<<(-(~(True))))))
12,Too large to print!,(~(True))**((True)<<((True)<<(-((~(True))<<(True)))))
12,16777216,(~(True))**(((True)-(~(True)))<<((True)-(~(True))))
12,-134217728,(~(True))**(((True)-(~(True)))**((True)-(~(True))))
12,-384,(~(-(~(True))))<<(~((~(True))<<(-(~(True)))))
12,-2187,(~(-(~(True))))**(~((~(True))<<(-(~(True)))))
12,-196608,(~(-(~(True))))<<((True)<<(-((~(True))<<(True))))
12,43046721,(~(-(~(True))))**((True)<<(-((~(True))<<(True))))
12,384,((True)-(~(True)))<<(~((~(True))<<(-(~(True)))))
12,2187,((True)-(~(True)))**(~((~(True))<<(-(~(True)))))
12,196608,((True)-(~(True)))<<((True)<<(-((~(True))<<(True))))
12,625,(~(-((~(True))<<(True))))**(-((~(True))<<(True)))
12,1296,((~(-(~(True))))<<(True))**(-((~(True))<<(True)))
12,-72,(~((True)<<((True)-(~(True)))))<<((True)-(~(True)))
12,56,(~((~(True))<<(-(~(True)))))<<((True)-(~(True)))
12,343,(~((~(True))<<(-(~(True)))))**((True)-(~(True)))
12,-56,(~(((True)-(~(True)))<<(True)))<<((True)-(~(True)))
12,-343,(~(((True)-(~(True)))<<(True)))**((True)-(~(True)))
12,-68,(~((True)<<(-((~(True))<<(True)))))<<(-(~(True)))
12,289,(~((True)<<(-((~(True))<<(True)))))**(-(~(True)))
12,60,(~((~(True))<<((True)-(~(True)))))<<(-(~(True)))
12,225,(~((~(True))<<((True)-(~(True)))))**(-(~(True)))
12,144,((~(-(~(True))))<<(-(~(True))))**(-(~(True)))
12,100,((~(-((~(True))<<(True))))<<(True))**(-(~(True)))
12,-131074,(~((True)<<((True)<<(-((~(True))<<(True))))))<<(True)
