Score, Target, Expression
13,1296,((~(True))*((True)-(~(True))))**((~(True))*(~(True)))
13,343,(~((~(True))**((True)-(~(True)))))**((True)-(~(True)))
13,-343,(~((~(-(~(True))))*(~(True))))**((True)-(~(True)))
13,289,(~((~(True))**((~(True))*(~(True)))))**(-(~(True)))
13,100,(~((~(-(~(True))))**(-(~(True)))))**(-(~(True)))
13,56,(~(((True)-(~(True)))**((True)-(~(True)))))*(~(True))
13,22,(~((~((~(True))*(~(True))))*(~(True))))*(~(True))
13,-41,((~(-(~(True))))**((~(True))*(~(True))))//(~(True))
14,-258,~(-(~((~(True))**(-((~(True))**((True)-(~(True))))))))
14,-65538,~(-(~((~(True))**((~(True))**((~(True))*(~(True)))))))
14,510,~(-(~((~(True))**((~(-(~(True))))**(-(~(True)))))))
14,123,~(-(~((~((~(True))*(~(True))))**((True)-(~(True))))))
14,-38,~(-(~(((~(True))*((True)-(~(True))))**(-(~(True))))))
14,-79,-(~((True)-((~(-(~(True))))**((~(True))*(~(True))))))
14,-23,-(~((True)-((~((~(True))*(~(True))))**(-(~(True))))))
14,-53,-(~((~(True))*(((True)-(~(True)))**((True)-(~(True))))))
14,-134217729,~(-((~(True))**(((True)-(~(True)))**((True)-(~(True))))))
14,-134217727,-(~((~(True))**(((True)-(~(True)))**((True)-(~(True))))))
14,1023,~(-((~(True))**((~((~(True))*(~(True))))*(~(True)))))
14,1025,-(~((~(True))**((~((~(True))*(~(True))))*(~(True)))))
14,-242,-(~((~(-(~(True))))**(-(~((~(True))*(~(True)))))))
14,728,~(-((~(-(~(True))))**((~(-(~(True))))*(~(True)))))
14,730,-(~((~(-(~(True))))**((~(-(~(True))))*(~(True)))))
14,244,-(~(((True)-(~(True)))**(-(~((~(True))*(~(True)))))))
14,624,~(-((~((~(True))*(~(True))))**((~(True))*(~(True)))))
14,626,-(~((~((~(True))*(~(True))))**((~(True))*(~(True)))))
14,-215,-(~(((~(True))*((True)-(~(True))))**((True)-(~(True)))))
14,217,-(~(((~(-(~(True))))*(~(True)))**((True)-(~(True)))))
14,50,-(~((~((~(True))**((True)-(~(True)))))**(-(~(True)))))
14,55,-(~(((~(-(~(True))))**((True)-(~(True))))*(~(True))))
14,-67,~((True)-(~((~(True))**((~(-(~(True))))*(~(True))))))
14,-84,~((True)-(~((~(-(~(True))))**((~(True))*(~(True))))))
14,61,~((True)-(~((~((True)-(~(True))))**((True)-(~(True))))))
14,254,~((True)-((~(True))**(-((~(True))**((True)-(~(True)))))))
14,-130,~((True)-((~(True))**(~((~(True))**((True)-(~(True)))))))
14,65534,~((True)-((~(True))**((~(True))**((~(True))*(~(True))))))
14,-514,~((True)-((~(True))**((~(-(~(True))))**(-(~(True))))))
14,32768,-((~(True))**(~(-((~(True))**((~(True))*(~(True)))))))
14,32767,~((~(True))**(~(-((~(True))**((~(True))*(~(True)))))))
14,131072,-((~(True))**(-(~((~(True))**((~(True))*(~(True)))))))
14,131071,~((~(True))**(-(~((~(True))**((~(True))*(~(True)))))))
14,52,-((~(True))*(~((~(-(~(True))))**((True)-(~(True))))))
14,51,~((~(True))*(~((~(-(~(True))))**((True)-(~(True))))))
14,-67108864,-((~(True))**(~((~(-(~(True))))**((True)-(~(True))))))
14,-67108865,~((~(True))**(~((~(-(~(True))))**((True)-(~(True))))))
14,-18446744073709551616,-((~(True))**((~(True))**((~(-(~(True))))*(~(True)))))
14,-18446744073709551617,~((~(True))**((~(True))**((~(-(~(True))))*(~(True)))))
14,162,-((~(True))*((~(-(~(True))))**((~(True))*(~(True)))))
14,161,~((~(True))*((~(-(~(True))))**((~(True))*(~(True)))))
14,2417851639229258349412352,-((~(True))**((~(-(~(True))))**((~(True))*(~(True)))))
14,2417851639229258349412351,~((~(True))**((~(-(~(True))))**((~(True))*(~(True)))))
14,-4096,-((~(True))**(((True)-(~(True)))*((~(True))*(~(True)))))
14,-4097,~((~(True))**(((True)-(~(True)))*((~(True))*(~(True)))))
14,33554432,-((~(True))**((~((~(True))*(~(True))))**(-(~(True)))))
14,33554431,~((~(True))**((~((~(True))*(~(True))))**(-(~(True)))))
14,-6561,-((~(-(~(True))))**(-((~(True))**((True)-(~(True))))))
14,-6562,~((~(-(~(True))))**(-((~(True))**((True)-(~(True))))))
14,2186,~((~(-(~(True))))**(~((~(True))**((True)-(~(True))))))
14,47,~((~(-(~(True))))*((~(True))**((~(True))*(~(True)))))
14,-43046721,-((~(-(~(True))))**((~(True))**((~(True))*(~(True)))))
14,-43046722,~((~(-(~(True))))**((~(True))**((~(True))*(~(True)))))
14,19682,~((~(-(~(True))))**((~(-(~(True))))**(-(~(True)))))
14,-22,~(((True)-(~(True)))*(~((~(True))**((True)-(~(True))))))
14,-2188,~(((True)-(~(True)))**(~((~(True))**((True)-(~(True))))))
14,-19684,~(((True)-(~(True)))**((~(-(~(True))))**(-(~(True)))))
14,-1296,-(((~(True))*((True)-(~(True))))**((~(True))*(~(True))))
14,-1297,~(((~(True))*((True)-(~(True))))**((~(True))*(~(True))))
14,-344,~((~((~(True))**((True)-(~(True)))))**((True)-(~(True))))
14,342,~((~((~(-(~(True))))*(~(True))))**((True)-(~(True))))
14,-289,-((~((~(True))**((~(True))*(~(True)))))**(-(~(True))))
14,-290,~((~((~(True))**((~(True))*(~(True)))))**(-(~(True))))
14,-100,-((~((~(-(~(True))))**(-(~(True)))))**(-(~(True))))
14,-101,~((~((~(-(~(True))))**(-(~(True)))))**(-(~(True))))
14,-56,-((~(((True)-(~(True)))**((True)-(~(True)))))*(~(True)))
14,-57,~((~(((True)-(~(True)))**((True)-(~(True)))))*(~(True)))
14,41,-(((~(-(~(True))))**((~(True))*(~(True))))//(~(True)))
14,40,~(((~(-(~(True))))**((~(True))*(~(True))))//(~(True)))
14,258,(True)-(~((~(True))**(-((~(True))**((True)-(~(True)))))))
14,65538,(True)-(~((~(True))**((~(True))**((~(True))*(~(True))))))
14,-510,(True)-(~((~(True))**((~(-(~(True))))**(-(~(True))))))
14,-123,(True)-(~((~((~(True))*(~(True))))**((True)-(~(True)))))
14,38,(True)-(~(((~(True))*((True)-(~(True))))**(-(~(True)))))
14,134217729,(True)-((~(True))**(((True)-(~(True)))**((True)-(~(True)))))
14,-1023,(True)-((~(True))**((~((~(True))*(~(True))))*(~(True))))
14,-728,(True)-((~(-(~(True))))**((~(-(~(True))))*(~(True))))
14,-624,(True)-((~((~(True))*(~(True))))**((~(True))*(~(True))))
14,268435456,(~(True))**(-(~(((True)-(~(True)))**((True)-(~(True))))))
14,-2048,(~(True))**(-(~((~((~(True))*(~(True))))*(~(True)))))
14,16384,(~(True))**(~((True)-((~(True))**((~(True))*(~(True))))))
14,4294967296,(~(True))**(-((~(True))**(-(~((~(True))*(~(True)))))))
14,-2147483648,(~(True))**(~((~(True))**(-(~((~(True))*(~(True)))))))
14,-9223372036854775808,(~(True))**(~((~((True)-(~(True))))**((True)-(~(True)))))
14,262144,(~(True))**((True)-(~((~(True))**((~(True))*(~(True))))))
14,115792089237316195423570985008687907853269984665640564039457584007913129639936,(~(True))**((~(True))**(-((~(True))**((True)-(~(True))))))
14,Too large to print!,(~(True))**((~(True))**((~(True))**((~(True))*(~(True)))))
14,-72,(~(True))*(((~(True))*((True)-(~(True))))**(-(~(True))))
14,68719476736,(~(True))**(((~(True))*((True)-(~(True))))**(-(~(True))))
14,-7625597484987,(~(-(~(True))))**(((True)-(~(True)))**((True)-(~(True))))
14,59049,(~(-(~(True))))**((~((~(True))*(~(True))))*(~(True)))
